game_id,winner
201408270KCA,home
201405260ARI,home
201409020CLE,away
201408070SLN,home
201406290LAN,home
201409100SEA,away
201406290SFN,away
201406280BAL,away
201408220OAK,home
201409050COL,home
201406120PHI,home
201408310SLN,home
201404280ARI,away
201407290NYN,away
201407180ARI,home
201405060MIA,home
201405060MIL,away
201404150ANA,home
201406050TEX,home
201407250CHN,home
201405310OAK,away
201407040COL,away
201408280BAL,home
201409020SLN,home
201409040TEX,home
201407090NYN,home
201408220CIN,away
201407250ATL,away
201409140PIT,home
201407230SLN,away
201406260TOR,home
201404280CHA,home
201406270KCA,home
201406120COL,away
201404080SFN,home
201409170ARI,away
201404240TBA,away
201409160PIT,home
201407010TOR,home
201403310CHA,home
201405180COL,home
201407020SFN,away
201409230TEX,home
201405140TOR,home
201406280MIL,home
201406280MIA,away
201404170DET,home
201407190SLN,home
201408220COL,home
201405130KCA,home
201404040NYN,home
201409070BOS,away
201405210PIT,home
201408100ATL,home
201404180CLE,away
201408090ATL,away
201407080NYN,home
201404060MIA,away
201409220DET,away
201405070DET,home
201404100TOR,away
201406040KCA,away
201408020CHA,away
201408200BOS,away
201406170CHA,home
201409190SLN,home
201404070KCA,home
201409170ATL,home
201407220PHI,away
201405140HOU,home
201404150TEX,home
201409262WAS,home
201407190TOR,home
201409270PHI,away
201407130CHN,home
201408220TOR,away
201404290SLN,away
201409200HOU,home
201404160TEX,home
201406290KCA,home
201405120TOR,home
201406110KCA,home
201406100TEX,away
201409020HOU,home
201404190TEX,home
201407100NYN,away
201404260BAL,home
201407120CIN,away
201409150MIN,away
201407220ARI,home
201406030CHN,home
201407300BAL,home
201407220MIL,home
201407220MIN,away
201408090KCA,home
201405230MIA,away
201406140LAN,home
201407130BAL,home
201406080MIN,home
201407190ATL,away
201406250TEX,away
201407050NYN,away
201406280TEX,home
201404200NYN,home
201407040DET,away
201408010CLE,away
201404110NYA,away
201407220ANA,away
201405130SEA,away
201408230MIL,home
201404090SFN,away
201404280SFN,away
201409260CHA,away
201406282CHN,away
201404080BOS,home
201406130BAL,away
201404300HOU,away
201406010NYA,away
201407300BOS,away
201407130NYN,home
201405040BOS,away
201408020ARI,away
201406290TOR,away
201408280KCA,home
201404120ATL,home
201409190COL,away
201407060OAK,home
201409190MIA,away
201409190MIN,home
201406050HOU,home
201408120TEX,home
201409090SEA,away
201406040NYA,away
201409080NYN,home
201405260SLN,away
201407200OAK,away
201404110SDN,home
201409170NYN,away
201408240LAN,home
201409160TBA,home
201405170SFN,away
201405180HOU,home
201405090CHA,home
201408250PIT,away
201408150NYN,home
201409050CLE,home
201408200COL,home
201404200MIA,home
201405072OAK,home
201406240SFN,away
201406070DET,home
201407230CHA,away
201404230OAK,away
201405090SEA,away
201409110TEX,away
201404080NYA,home
201406100BAL,away
201407230CHN,away
201408190LAN,home
201409170BAL,home
201407080TBA,home
201407260SFN,away
201404140ANA,away
201407180TOR,away
201406250SFN,home
201405140KCA,home
201408030TBA,away
201408260HOU,home
201405180SLN,away
201406250HOU,away
201404030BAL,away
201404030PIT,away
201409080CIN,away
201408170NYN,away
201406180ARI,home
201405130TOR,home
201404050CLE,away
201404170CHA,away
201408210MIN,home
201409130TOR,home
201407120HOU,home
201405170HOU,home
201409090MIL,away
201408220CLE,away
201406210CLE,away
201409160SDN,home
201404040PIT,away
201405280NYN,home
201404010SDN,away
201405010KCA,away
201407080CLE,home
201405230ATL,home
201407050CLE,home
201407240OAK,home
201406200SDN,home
201404250ARI,home
201408160NYN,home
201404220LAN,away
201404100PHI,away
201404050PIT,away
201405030SDN,away
201405220CHA,home
201408030SLN,home
201406230SEA,away
201408270BAL,away
201409160ARI,away
201409240OAK,away
201409060COL,home
201406020PHI,home
201409100CHA,home
201409080WAS,home
201405030PHI,home
201407190WAS,home
201406140BOS,away
201409120SLN,home
201408050MIL,home
201407100TEX,home
201408270ANA,home
201408100OAK,away
201408010NYN,away
201409210ATL,home
201406060ARI,away
201409100NYN,home
201406020MIL,home
201407110HOU,away
201406020MIA,home
201409100NYA,home
201408171COL,away
201406120PIT,home
201405060CLE,home
201404140TEX,away
201405220SLN,home
201407200ARI,home
201407250CIN,away
201409220TOR,away
201405230PIT,home
201408080NYA,away
201407090MIL,away
201406210MIN,home
201409280TEX,away
201405110DET,away
201406030SLN,away
201406280HOU,away
201407210ATL,away
201408060CHA,away
201409190NYA,home
201409230DET,home
201409130MIL,away
201406150NYN,home
201409020CHN,home
201408120HOU,away
201409190BAL,away
201407040MIN,away
201405200TEX,away
201405252NYN,home
201409240LAN,home
201408030NYN,away
201404021OAK,home
201408301SLN,away
201409180MIA,away
201407270ANA,home
201406100SFN,away
201404190KCA,home
201409170OAK,away
201406080TEX,away
201405110SEA,away
201405140BAL,away
201407220PIT,away
201407220SEA,away
201407020BOS,home
201405160SFN,away
201409120DET,home
201405300ARI,away
201404260LAN,home
201405040PIT,away
201407180BOS,home
201409220OAK,home
201407050DET,away
201404030TBA,home
201405210BOS,away
201408050MIN,home
201405120SFN,home
201407192DET,away
201407070OAK,home
201408020WAS,home
201405110OAK,home
201408130BAL,home
201407100MIL,away
201406060TEX,home
201408110TEX,away
201409170KCA,home
201406280SDN,away
201405070ANA,away
201408050CLE,away
201406250BAL,home
201405210TBA,away
201406050KCA,home
201409070DET,home
201406190OAK,home
201403310OAK,away
201404240WAS,away
201406030LAN,away
201409100TOR,home
201404030OAK,home
201408090NYA,away
201407110BAL,home
201406090PIT,home
201408310TOR,home
201404130NYA,home
201404220OAK,away
201406100TOR,away
201408140COL,home
201408200LAN,away
201408050NYA,away
201407070TBA,away
201404290MIA,home
201406140NYN,away
201409180ANA,away
201405110LAN,away
201406260PIT,home
201408030CHA,home
201404110CHA,home
201409260TEX,away
201407120MIL,home
201404100SFN,away
201404060NYN,away
201405170TEX,away
201404210CHN,home
201405130NYA,home
201406250MIL,home
201409090CLE,away
201405140ARI,away
201407010WAS,home
201405040SDN,home
201406190TBA,home
201408230TOR,home
201404120SEA,away
201404110SEA,home
201405080TBA,away
201408200SLN,home
201407270HOU,away
201409230ATL,away
201405210SLN,home
201405090CIN,home
201408200CHA,away
201406200MIA,home
201405230BAL,home
201404040KCA,home
201408230WAS,home
201406200MIN,home
201408200CHN,away
201408060NYA,home
201407180MIN,away
201406210COL,away
201407110NYN,home
201408200TBA,away
201407180MIA,away
201407020CHA,home
201406130PHI,away
201407200SDN,home
201404070BOS,home
201406220OAK,away
201404270ATL,home
201405230PHI,away
201409260SFN,away
201409140KCA,away
201406240CHN,home
201409160NYN,home
201408090OAK,home
201405070MIA,home
201404230PIT,away
201403310NYN,away
201404020NYN,away
201405130HOU,home
201405070MIL,away
